type,id,date,title,slug,categories,tags,comments_count,word_count,url,markdown_file
post,484,2013-08-28T13:52:15+01:00,Preface to “Change! – Use habits to effortless improve your life.” (Version 0.1),preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1,Habits,"AA, attention, automatic behavior, automaticity, autopilot, Behavioural Change, book, Change, dynamic systems, habit, Habits, Judith Martins, limbic system, Motivation, self-talk, success, Weight Watchers, William James",1,1402,http://behaviouralscience.net/2013/08/28/preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1/,posts_markdown/2013-08-28-preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1.md
post,414,2011-01-02T13:52:51+01:00,The Behavioural Science Blog in 2010,the-behavioural-science-blog-in-2010,Behavioural Science,,0,233,http://behaviouralscience.net/2011/01/02/the-behavioural-science-blog-in-2010/,posts_markdown/2011-01-02-the-behavioural-science-blog-in-2010.md
post,410,2010-12-26T12:30:55+01:00,Forget the Cinderella effect: stepparents are just as likely to kill their biological children as their stepchildren,forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren,Social Psychology,"child homocide, Daly, Evolutionary Psychology, family, Fergusson, Fleming, Kexue Communications, O’Neill, stepparent, Stockholm University, Temrin, Tim O’Mahony, Wilson",1,726,http://behaviouralscience.net/2010/12/26/forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren/,posts_markdown/2010-12-26-forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren.md
post,396,2010-04-05T10:22:01+01:00,Dan Ariely: It’s OK to cheat and steal (sometimes),dan-ariely-its-ok-to-cheat-and-steal-sometimes,Behavioural Science,"behavioural economy, cheat, Dan Ariely, morality, presentation, steal, TED, video",0,48,http://behaviouralscience.net/2010/04/05/dan-ariely-its-ok-to-cheat-and-steal-sometimes/,posts_markdown/2010-04-05-dan-ariely-its-ok-to-cheat-and-steal-sometimes.md
post,391,2010-03-28T13:33:15+01:00,The Secret: Force of the universe or unconscious goal priming?,the-secret-force-of-the-universe-or-unconscious-goal-priming,Social Cognition,"occam's razor, priming, The Secret, unconscious goals, visualization",4,61,http://behaviouralscience.net/2010/03/28/the-secret-force-of-the-universe-or-unconscious-goal-priming/,posts_markdown/2010-03-28-the-secret-force-of-the-universe-or-unconscious-goal-priming.md
post,385,2010-03-24T12:28:16+01:00,Gigerenzer: The Intelligence of the Unconscious,gigerenzer-the-intelligence-of-the-unconscious,Social Psychology,"fast and frugal heuristics, Gerd Gigerenzer, Gut Feelings, intuition, logic, unconscious, unconscious processes, University of California, video",1,112,http://behaviouralscience.net/2010/03/24/gigerenzer-the-intelligence-of-the-unconscious/,posts_markdown/2010-03-24-gigerenzer-the-intelligence-of-the-unconscious.md
post,360,2010-02-06T23:59:20+01:00,Dan Fitzgerald about fMRI – Video interview,dan-fitzgerald-about-fmri-video-interview,Behavioural Science,"behaviour, Dan Fitzgerald, fMRI, Introduction, research, video, Video interview",2,72,http://behaviouralscience.net/2010/02/06/dan-fitzgerald-about-fmri-video-interview/,posts_markdown/2010-02-06-dan-fitzgerald-about-fmri-video-interview.md
post,341,2010-01-20T16:02:53+01:00,Behavioural Science Top 5,behavioural-science-top-5,Behavioural Science,"Google, ranking, science blogs",0,122,http://behaviouralscience.net/2010/01/20/behavioural-science-top-5/,posts_markdown/2010-01-20-behavioural-science-top-5.md
post,355,2010-01-16T08:34:03+01:00,Blog stats january 2010,blog-stats-january-2010,Loosely Related,"search terms, stats",0,334,http://behaviouralscience.net/2010/01/16/blog-stats-january-2010/,posts_markdown/2010-01-16-blog-stats-january-2010.md
post,333,2010-01-13T15:02:01+01:00,Upcoming Blogposts February 2010,upcoming-blogposts-february-2010,Behavioural Science,"backlash effect, Chomsky, Daniel Fitzgerald, Dynamical modeling, fMRI research, Fred Hasselman, Hubert de Mey, Nonlinear time series analysis, Pamela Smith, power research, Sanne Nauts, Skinner, Theory",0,349,http://behaviouralscience.net/2010/01/13/upcoming-blogposts-february-2010/,posts_markdown/2010-01-13-upcoming-blogposts-february-2010.md
