type,title,original_url,path,slug,short_url,guid_url,proposed_target_path
post,Preface to “Change! &#8211; Use habits to effortless improve your life.” (Version 0.1),http://behaviouralscience.net/2013/08/28/preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1/,/2013/08/28/preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1/,preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1,https://wp.me/p6PBZ-7O,http://behaviouralscience.net/?p=484,/posts/preface-to-change-use-habits-to-effortless-improve-your-life-version-0-1/
post,The Behavioural Science Blog in 2010,http://behaviouralscience.net/2011/01/02/the-behavioural-science-blog-in-2010/,/2011/01/02/the-behavioural-science-blog-in-2010/,the-behavioural-science-blog-in-2010,https://wp.me/p6PBZ-6G,http://behaviouralscience.net/?p=414,/posts/the-behavioural-science-blog-in-2010/
post,Forget the Cinderella effect: stepparents are just as likely to kill their biological children as their stepchildren,http://behaviouralscience.net/2010/12/26/forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren/,/2010/12/26/forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren/,forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren,https://wp.me/p6PBZ-6C,http://behaviouralscience.net/?p=410,/posts/forget-the-cinderella-effect-stepparents-are-just-as-likely-to-kill-their-biological-children-as-their-stepchildren/
post,Dan Ariely: It&#8217;s OK to cheat and steal (sometimes),http://behaviouralscience.net/2010/04/05/dan-ariely-its-ok-to-cheat-and-steal-sometimes/,/2010/04/05/dan-ariely-its-ok-to-cheat-and-steal-sometimes/,dan-ariely-its-ok-to-cheat-and-steal-sometimes,https://wp.me/p6PBZ-6o,http://behaviouralscience.net/?p=396,/posts/dan-ariely-its-ok-to-cheat-and-steal-sometimes/
post,The Secret: Force of the universe or unconscious goal priming?,http://behaviouralscience.net/2010/03/28/the-secret-force-of-the-universe-or-unconscious-goal-priming/,/2010/03/28/the-secret-force-of-the-universe-or-unconscious-goal-priming/,the-secret-force-of-the-universe-or-unconscious-goal-priming,https://wp.me/p6PBZ-6j,http://behaviouralscience.net/?p=391,/posts/the-secret-force-of-the-universe-or-unconscious-goal-priming/
post,Gigerenzer: The Intelligence of the Unconscious,http://behaviouralscience.net/2010/03/24/gigerenzer-the-intelligence-of-the-unconscious/,/2010/03/24/gigerenzer-the-intelligence-of-the-unconscious/,gigerenzer-the-intelligence-of-the-unconscious,https://wp.me/p6PBZ-6d,http://behaviouralscience.net/?p=385,/posts/gigerenzer-the-intelligence-of-the-unconscious/
post,Dan Fitzgerald about fMRI &#8211; Video interview,http://behaviouralscience.net/2010/02/06/dan-fitzgerald-about-fmri-video-interview/,/2010/02/06/dan-fitzgerald-about-fmri-video-interview/,dan-fitzgerald-about-fmri-video-interview,https://wp.me/p6PBZ-5O,http://behaviouralscience.net/?p=360,/posts/dan-fitzgerald-about-fmri-video-interview/
post,Behavioural Science Top 5,http://behaviouralscience.net/2010/01/20/behavioural-science-top-5/,/2010/01/20/behavioural-science-top-5/,behavioural-science-top-5,https://wp.me/p6PBZ-5v,http://behaviouralscience.net/?p=341,/posts/behavioural-science-top-5/
post,Blog stats january 2010,http://behaviouralscience.net/2010/01/16/blog-stats-january-2010/,/2010/01/16/blog-stats-january-2010/,blog-stats-january-2010,https://wp.me/p6PBZ-5J,http://behaviouralscience.net/?p=355,/posts/blog-stats-january-2010/
post,Upcoming Blogposts February 2010,http://behaviouralscience.net/2010/01/13/upcoming-blogposts-february-2010/,/2010/01/13/upcoming-blogposts-february-2010/,upcoming-blogposts-february-2010,https://wp.me/p6PBZ-5n,http://behaviouralscience.net/?p=333,/posts/upcoming-blogposts-february-2010/
